	id	minute	result	X	Y	xG	player	h_a	player_id	situation	season	shotType	match_id	h_team	a_team	h_goals	a_goals	date	player_assisted	lastAction
0	470857	3	Goal	0.945	0.4879999923706055	0.5669088959693909	Ciro Immobile	h	1209	OpenPlay	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Sergej Milinkovic-Savic	Cross
1	470860	23	SavedShot	0.835	0.69	0.048659563064575195	Luis Alberto	h	1219	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00		None
2	470863	29	MissedShots	0.755	0.34	0.02468693256378174	Manuel Lazzari	h	6180	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Thomas Strakosha	Pass
3	470865	33	BlockedShot	0.7619999694824219	0.48900001525878906	0.03568807244300842	Luis Alberto	h	1219	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Sergej Milinkovic-Savic	Pass
4	470880	65	MissedShots	0.9	0.590999984741211	0.013198030181229115	Francesco Acerbi	h	1463	FromCorner	2021	Head	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Danilo Cataldi	Aerial
5	470881	68	MissedShots	0.7	0.27600000381469725	0.01057650800794363	Sergej Milinkovic-Savic	h	1543	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Manuel Lazzari	Pass
6	470883	74	BlockedShot	0.8169999694824219	0.3940000152587891	0.0535321943461895	Sergej Milinkovic-Savic	h	1543	OpenPlay	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Francesco Acerbi	LayOff
7	470858	8	BlockedShot	0.7909999847412109	0.735	0.053125545382499695	Sandro Tonali	a	7958	DirectFreekick	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00		Standard
8	470859	16	MissedShots	0.9290000152587891	0.4540000152587891	0.05917845666408539	Olivier Giroud	a	502	OpenPlay	2021	Head	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Junior Messias	Chipped
9	470861	27	MissedShots	0.919000015258789	0.6659999847412109	0.06839737296104431	Rafael Leão	a	7193	OpenPlay	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Franck Kessié	Pass
10	470862	28	SavedShot	0.9119999694824219	0.6580000305175782	0.06774917244911194	Franck Kessié	a	1489	OpenPlay	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Rafael Leão	Pass
11	470864	31	SavedShot	0.8069999694824219	0.7469999694824219	0.0169772170484066	Rafael Leão	a	7193	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Pierre Kalulu Kyatengwa	BallRecovery
12	470866	36	MissedShots	0.9569999694824218	0.5309999847412109	0.06843958050012589	Olivier Giroud	a	502	OpenPlay	2021	Head	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Davide Calabria	Aerial
13	470867	36	BlockedShot	0.7919999694824219	0.705	0.022114554420113564	Rafael Leão	a	7193	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Brahim Diaz	Pass
14	470868	37	BlockedShot	0.9059999847412109	0.4420000076293945	0.08682861924171448	Sandro Tonali	a	7958	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Junior Messias	HeadPass
15	470869	37	BlockedShot	0.8580000305175781	0.49599998474121093	0.029186246916651726	Brahim Diaz	a	6421	FromCorner	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00		Aerial
16	470870	43	SavedShot	0.755	0.73	0.04080217704176903	Theo Hernández	a	2547	DirectFreekick	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00		Standard
17	470871	46	BlockedShot	0.8569999694824219	0.3729999923706055	0.06207695230841637	Olivier Giroud	a	502	OpenPlay	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Brahim Diaz	Pass
18	470872	46	BlockedShot	0.8580000305175781	0.48200000762939454	0.067029669880867	Junior Messias	a	8838	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00		Rebound
19	470873	49	Goal	0.9530000305175781	0.5279999923706055	0.5978827476501465	Olivier Giroud	a	502	OpenPlay	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Rafael Leão	Pass
20	470874	56	MissedShots	0.9	0.43099998474121093	0.06509757041931152	Fikayo Tomori	a	703	SetPiece	2021	Head	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Theo Hernández	Cross
21	470875	58	BlockedShot	0.8590000152587891	0.4759999847412109	0.06762475520372391	Brahim Diaz	a	6421	FromCorner	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00		None
22	470876	58	MissedShots	0.9569999694824218	0.3920000076293945	0.24103307723999023	Junior Messias	a	8838	FromCorner	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Rafael Leão	Cross
23	470877	60	BlockedShot	0.7440000152587891	0.695	0.014914821833372116	Rafael Leão	a	7193	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Fikayo Tomori	TakeOn
24	470878	61	MissedShots	0.9	0.33	0.05993129685521126	Junior Messias	a	8838	OpenPlay	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Pierre Kalulu Kyatengwa	GoodSkill
25	470879	64	MissedShots	0.5940000152587891	0.8059999847412109	0.007723630405962467	Rafael Leão	a	7193	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00		BallRecovery
26	470882	69	SavedShot	0.7330000305175781	0.6980000305175781	0.010605021379888058	Zlatan Ibrahimovic	a	1741	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Sandro Tonali	Chipped
27	470884	83	SavedShot	0.8880000305175781	0.7019999694824218	0.035589054226875305	Rafael Leão	a	7193	OpenPlay	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Ante Rebic	TakeOn
28	470885	84	SavedShot	0.7469999694824219	0.549000015258789	0.02082275226712227	Ante Rebic	a	1852	OpenPlay	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00		Dispossessed
29	470886	88	BlockedShot	0.88	0.40400001525878904	0.058810289949178696	Zlatan Ibrahimovic	a	1741	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Theo Hernández	Cross
30	470887	89	MissedShots	0.76	0.615	0.016684025526046753	Theo Hernández	a	2547	FromCorner	2021	LeftFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00		None
31	470888	91	Goal	0.9540000152587891	0.505	0.6187825798988342	Sandro Tonali	a	7958	OpenPlay	2021	RightFoot	17091	Lazio	AC Milan	1	2	2022-04-24 18:45:00	Zlatan Ibrahimovic	HeadPass
32	467814	10	Goal	0.9369999694824219	0.5670000076293945	0.34191372990608215	Rafael Leão	h	7193	OpenPlay	2021	LeftFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Pierre Kalulu Kyatengwa	Cross
33	467816	35	MissedShots	0.8980000305175782	0.5179999923706055	0.14039307832717896	Alexis Saelemaekers	h	8297	OpenPlay	2021	LeftFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Franck Kessié	Pass
34	467819	50	MissedShots	0.81	0.35900001525878905	0.050403859466314316	Alexis Saelemaekers	h	8297	OpenPlay	2021	RightFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00		BallRecovery
35	467821	56	MissedShots	0.905	0.5329999923706055	0.36390018463134766	Olivier Giroud	h	502	SetPiece	2021	RightFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Alexis Saelemaekers	Cross
36	467822	76	SavedShot	0.8780000305175781	0.6940000152587891	0.10852257162332535	Rafael Leão	h	7193	OpenPlay	2021	LeftFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Ante Rebic	Chipped
37	467824	78	SavedShot	0.7480000305175781	0.6359999847412109	0.023260973393917084	Franck Kessié	h	1489	OpenPlay	2021	RightFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00		BallTouch
38	467826	86	SavedShot	0.9059999847412109	0.4590000152587891	0.32635417580604553	Junior Messias	h	8838	OpenPlay	2021	LeftFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Ante Rebic	Chipped
39	467827	86	Goal	0.965999984741211	0.43900001525878907	0.6117494106292725	Junior Messias	h	8838	OpenPlay	2021	RightFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00		Rebound
40	467828	92	MissedShots	0.8859999847412109	0.5870000076293945	0.020408330485224724	Franck Kessié	h	1489	FromCorner	2021	Head	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Theo Hernández	Cross
41	467830	94	BlockedShot	0.7759999847412109	0.745	0.027913346886634827	Franck Kessié	h	1489	OpenPlay	2021	RightFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Fode Toure	Pass
42	467815	27	MissedShots	0.745	0.48200000762939454	0.017826681956648827	Milan Badelj	a	1430	OpenPlay	2021	RightFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00		BallRecovery
43	467817	45	MissedShots	0.935	0.664000015258789	0.055479250848293304	Pablo Galdames	a	10034	OpenPlay	2021	RightFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Milan Badelj	Chipped
44	467818	49	BlockedShot	0.730999984741211	0.345	0.015795845538377762	Nadiem Amiri	a	82	OpenPlay	2021	RightFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Caleb Ekuban	Pass
45	467820	55	MissedShots	0.6430000305175781	0.59	0.011088725179433823	Mattia Destro	a	1580	OpenPlay	2021	RightFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Johan Vásquez	Pass
46	467823	77	MissedShots	0.795	0.2979999923706055	0.011171172372996807	Filippo Melegoni	a	4959	OpenPlay	2021	RightFoot	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Kelvin Yeboah	Aerial
47	467825	84	MissedShots	0.874000015258789	0.32799999237060545	0.01268764864653349	Leo Østigard	a	10237	SetPiece	2021	Head	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00		None
48	467829	93	SavedShot	0.925	0.49700000762939456	0.12811778485774994	Hernani	a	5509	SetPiece	2021	Head	17081	AC Milan	Genoa	2	0	2022-04-15 19:00:00	Pablo Galdames	Cross
49	467646	12	MissedShots	0.9430000305175781	0.4279999923706055	0.1298680603504181	Andrea Belotti	h	1186	OpenPlay	2021	Head	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Mergim Vojvoda	Cross
50	467648	32	MissedShots	0.8909999847412109	0.6919999694824219	0.05091896653175354	Samuele Ricci	h	7530	OpenPlay	2021	LeftFoot	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Josip Brekalo	Pass
51	467651	49	BlockedShot	0.8069999694824219	0.49400001525878906	0.04683429375290871	Tommaso Pobega	h	8912	OpenPlay	2021	LeftFoot	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Wilfried Stephane Singo	Chipped
52	467652	49	SavedShot	0.8369999694824218	0.715	0.03095574490725994	Mergim Vojvoda	h	8819	OpenPlay	2021	RightFoot	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Tommaso Pobega	Pass
53	467653	51	BlockedShot	0.7419999694824219	0.3609999847412109	0.01426452025771141	Andrea Belotti	h	1186	OpenPlay	2021	LeftFoot	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Wilfried Stephane Singo	Pass
54	467656	64	BlockedShot	0.8580000305175781	0.49400001525878906	0.08449258655309677	Andrea Belotti	h	1186	OpenPlay	2021	RightFoot	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Ricardo Rodríguez	Chipped
55	467657	67	BlockedShot	0.965999984741211	0.6769999694824219	0.06206280738115311	Josip Brekalo	h	5353	OpenPlay	2021	LeftFoot	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Andrea Belotti	Pass
56	467658	70	BlockedShot	0.715	0.52	0.012501705437898636	Ricardo Rodríguez	h	308	OpenPlay	2021	RightFoot	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00		None
57	467659	71	MissedShots	0.9219999694824219	0.585	0.017608873546123505	Andrea Belotti	h	1186	FromCorner	2021	Head	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Ricardo Rodríguez	Aerial
58	467661	75	MissedShots	0.9219999694824219	0.6919999694824219	0.05116363614797592	Andrea Belotti	h	1186	OpenPlay	2021	LeftFoot	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Mergim Vojvoda	Pass
59	467662	80	SavedShot	0.7580000305175781	0.3129999923706055	0.019305001944303513	Ola Aina	h	725	OpenPlay	2021	LeftFoot	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Tommaso Pobega	Pass
60	467663	80	BlockedShot	0.8190000152587891	0.6919999694824219	0.03029808960855007	Pietro Pellegri	h	4932	OpenPlay	2021	RightFoot	17074	Torino	AC Milan	0	0	2022-04-10 18:45:00	Mergim Vojvoda	Pass
