id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
476545,16,BlockedShot,0.8540000152587891,0.590999984741211,0.07083765417337418,Theo Hernández,h,2547,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,,BallRecovery
476546,17,MissedShots,0.705,0.46700000762939453,0.013253062963485718,Sandro Tonali,h,7958,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Rade Krunic,Pass
476547,20,SavedShot,0.894000015258789,0.7190000152587891,0.041052717715501785,Rafael Leão,h,7193,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Rade Krunic,Pass
476550,34,SavedShot,0.7980000305175782,0.31799999237060544,0.021480757743120193,Alexis Saelemaekers,h,8297,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Davide Calabria,Pass
476552,41,MissedShots,0.8190000152587891,0.5429999923706055,0.06390397995710373,Rafael Leão,h,7193,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Alexis Saelemaekers,Pass
476553,44,BlockedShot,0.749000015258789,0.605,0.016587357968091965,Rafael Leão,h,7193,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,,None
476555,53,MissedShots,0.7419999694824219,0.7040000152587891,0.04018251597881317,Theo Hernández,h,2547,DirectFreekick,2021,LeftFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,,Standard
476556,55,Goal,0.885,0.35700000762939454,0.4691965579986572,Rafael Leão,h,7193,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Junior Messias,Throughball
476559,68,BlockedShot,0.8190000152587891,0.6419999694824219,0.049047984182834625,Ante Rebic,h,1852,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Rafael Leão,TakeOn
476561,74,Goal,0.879000015258789,0.6309999847412109,0.1317645013332367,Theo Hernández,h,2547,OpenPlay,2021,LeftFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Rade Krunic,BallRecovery
476562,82,SavedShot,0.7669999694824219,0.4490000152587891,0.07850392162799835,Junior Messias,h,8838,OpenPlay,2021,LeftFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Rafael Leão,Pass
476563,84,SavedShot,0.9019999694824219,0.46099998474121096,0.5377463102340698,Ante Rebic,h,1852,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,,None
476548,27,MissedShots,0.8880000305175781,0.3920000076293945,0.05538499355316162,José Luis Palomino,a,4733,FromCorner,2021,LeftFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Berat Gjimshiti,BallTouch
476549,30,SavedShot,0.75,0.4640000152587891,0.022847849875688553,Luis Muriel,a,1229,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Hans Hateboer,Pass
476551,37,MissedShots,0.7919999694824219,0.66,0.028691314160823822,Davide Zappacosta,a,1178,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Matteo Pessina,TakeOn
476554,46,BlockedShot,0.8769999694824219,0.6780000305175782,0.05827512964606285,Davide Zappacosta,a,1178,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Luis Muriel,Pass
476557,60,MissedShots,0.8780000305175781,0.45099998474121095,0.06747835129499435,Duván Zapata,a,1148,OpenPlay,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,,Dispossessed
476558,67,MissedShots,0.92,0.5840000152587891,0.06429927796125412,Hans Hateboer,a,4941,FromCorner,2021,RightFoot,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Ruslan Malinovskiy,Cross
476560,70,MissedShots,0.9119999694824219,0.5329999923706055,0.27635663747787476,Duván Zapata,a,1148,FromCorner,2021,Head,17121,AC Milan,Atalanta,2,0,2022-05-15 16:00:00,Ruslan Malinovskiy,Cross
